StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID13,対人的援助01,清潔さ02,組織支援行動03,対人的援助04,誠実さ05,組織支援行動06,清潔さ07,誠実さ08,組織支援行動9,清潔さ10,対人的援助11,誠実さ12,誠実さ13,対人的援助14,対人的援助15,誠実さ16,対人的援助17,誠実さ18,対人的援助19,対人的援助20,職務上の配慮21,職務上の配慮22,組織支援行動23,誠実さ24,誠実さ25,職務上の配慮26,職務上の配慮27,職務上の配慮28,職務上の配慮29,組織支援行動30,組織支援行動31,組織支援行動32,組織支援行動33,QID14_1,ランダムID
開始日,終了日,回答タイプ,進行状況,時間（秒単位）,終了,記録日,回答ID,配信のチャンネル,ユーザーの言語,"あなたの部署を選択してください

注）次のページに進むと、前のページには戻れません。","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 同僚の仕事上のトラブルを進んで手助けする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 職場では机をいつもきれいにし、汚さないように努める","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 会社の新しい展開や内部の事情を、いち早く知るよう努める","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 多くの仕事を抱えている人の手助けをする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事中は無駄な会話で時間をつぶさないようにする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 社内報や掲示物にまめに目を通して、社内の最新情報を知っておく","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 文房具・消耗品を使いやすいように整理し、配置する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 不必要に仕事の手を休めないよう心がける","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 参加が義務づけられていなくても、会社が主催する行事や祭典には参加する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 職場では自分の身の回りをきれいに掃除する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事上のトラブルを抱えている人を、進んで手助けする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事中に必要以上の休息をとらないようにする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事上のささいなことに対して、くどくど不平を言わないようにする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 自分の周りにいる同僚や部下、上司に手を貸せるようにいつも準備している","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 休んでいる人の仕事を代わりに手伝ってあげる","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 昼休みや休息時間を長くとりすぎないよう努める","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 他の部署（あるいは課）にいる人の仕事を助けてあげる","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 会社（あるいは組織）の備品や消耗品を無駄づかいしないよう努める","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 他の部署（あるいは課）を尋ねに来た訪問者の応対をする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 上司の仕事であっても進んで手伝う","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 一度受けた仕事は最後まで責任をもって実行する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 同僚や部下からの疑問や質問には、丁寧に答える","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事の時間以外でも、顧客が会社に対して良い印象をもってもらえるよう努力する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 自分の意見を職場の人たちに押しつけない","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 自分から積極的に仕事を見つける","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 自分の仕事に注意を行き届かせる","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 職場の人に迷惑にならないように注意して行動する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事で間違いに気がついたらすぐに正す","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 個人的に得た有益な情報を、適切なときに職場に提供する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事上の役割を果たすためには、家庭も犠牲にする","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 仕事の場以外でも積極的に自分の会社（組織）を宣伝する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 自分の会社（あるいは組織）が開催するイベントの情報を自主的に紹介する","ここ最近のあなたの職場での勤務の様子を振り返ってみてください。

次に示されるのは職場や組織における様々な行動です。

各々について、あなたが行っているものかどうかについて1～5のうちから選んでください。

 1,　まったく行わない
 2,　めったに行わない
 3,　たまに行う
 4,　しばしば行う
 5,　つねに行う

注）次のページに進むと、前のページには戻れません。 - 優秀な人材を自分の会社に入るように勧める","あなたの感じる旭丘工場の雰囲気は？
丸を当てはまる位置にスライドさせて、ご回答ください。

注）次のページに進むと、前のページには戻れません。",ランダムID
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""ランダムID""}"
2024-11-06 16:23:32,2024-11-06 16:27:50,IP Address,100,258,True,2024-11-06 16:27:51,R_4YhQgBifmuW7JxE,anonymous,JA,開発2部,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,5. つねに行う,4. しばしば行う,5. つねに行う,5. つねに行う,2. めったに行わない,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,30,9631
2024-11-06 16:26:30,2024-11-06 16:32:03,IP Address,100,333,True,2024-11-06 16:32:04,R_4I9ltLtSxLOkK1U,anonymous,JA,開発2部,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,5. つねに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,5. つねに行う,1. まったく行わない,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,55,9484
2024-11-06 16:24:07,2024-11-06 16:34:32,IP Address,100,625,True,2024-11-06 16:34:33,R_4K2cmUNmLNlIUjc,anonymous,JA,開発2部,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,25,5825
2024-11-06 16:26:05,2024-11-06 16:36:17,IP Address,100,612,True,2024-11-06 16:36:18,R_4y1OlCJ8S2qQ7xT,anonymous,JA,管理部,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,40,2997
2024-11-06 16:30:22,2024-11-06 16:36:34,IP Address,100,372,True,2024-11-06 16:36:35,R_4ha4cZ3fBfrJMMa,anonymous,JA,製造部,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,3. たまに行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,50,6687
2024-11-06 16:33:47,2024-11-06 16:38:24,IP Address,100,276,True,2024-11-06 16:38:25,R_4EA25aJhFD66h44,anonymous,JA,開発2部,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,20,5883
2024-11-06 16:08:21,2024-11-06 16:42:11,IP Address,100,2029,True,2024-11-06 16:42:11,R_4cjCXNajr6HLWb6,anonymous,JA,事業企画開発部,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,40,8981
2024-11-06 16:32:14,2024-11-06 16:45:31,IP Address,100,797,True,2024-11-06 16:45:32,R_4o69L4SSs7I5u1c,anonymous,JA,営業部,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,35,7232
2024-11-06 16:41:20,2024-11-06 16:47:30,IP Address,100,370,True,2024-11-06 16:47:30,R_4R3AC3bcx1oIBZ1,anonymous,JA,技術部,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,5. つねに行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,35,5234
2024-11-06 16:40:10,2024-11-06 16:48:11,IP Address,100,480,True,2024-11-06 16:48:11,R_4MilB4h9lVRPZ0d,anonymous,JA,営業部,3. たまに行う,2. めったに行わない,1. まったく行わない,2. めったに行わない,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,1. まったく行わない,2. めったに行わない,2. めったに行わない,5. つねに行う,5. つねに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,1. まったく行わない,5. つねに行う,3. たまに行う,2. めったに行わない,5. つねに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,50,2076
2024-11-06 16:24:08,2024-11-06 16:50:04,IP Address,100,1556,True,2024-11-06 16:50:05,R_4fToSOQhXivwuHb,anonymous,JA,管理部,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,40,9087
2024-11-06 16:46:29,2024-11-06 16:52:37,IP Address,100,368,True,2024-11-06 16:52:37,R_4OxG2KeBeqqeAYU,anonymous,JA,技術部,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,1. まったく行わない,3. たまに行う,2. めったに行わない,3. たまに行う,30,9891
2024-11-06 16:52:33,2024-11-06 17:00:01,IP Address,100,447,True,2024-11-06 17:00:02,R_4f7deDEgGz4TO3u,anonymous,JA,技術部,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,40,9092
2024-11-06 16:55:30,2024-11-06 17:04:50,IP Address,100,560,True,2024-11-06 17:04:51,R_4gdvYeRC7KCIf4B,anonymous,JA,技術部,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,3. たまに行う,2. めったに行わない,10,1207
